Name,Price(₹),Urls
Mens Short Sleeve Printed T-Shirt-Grey,₹750,https://www.nykaafashion.com/united-colors-of-benetton-mens-short-sleeve-printed-t-shirt-grey/p/8127410
Mens Short Sleeve Solid Polo T-Shirt-Maroon,"₹1,150",https://www.nykaafashion.com/united-colors-of-benetton-mens-short-sleeve-solid-polo-t-shirt-maroon/p/8127412
Blue Colour-Blocked Polo T-Shirt,"₹1,500",https://www.nykaafashion.com/united-colors-of-benetton-blue-colour-blocked-polo-t-shirt/p/7617424
Mens Slim Fit Check Shirt Multi-Color,"₹1,750",https://www.nykaafashion.com/united-colors-of-benetton-mens-slim-fit-check-shirt-multi-color/p/8256754
Skinny Fit Blue Jeans,"₹2,000",https://www.nykaafashion.com/united-colors-of-benetton-skinny-fit-blue-jeans/p/7617553
Mens Short Sleeve Printed T-Shirt,₹900,https://www.nykaafashion.com/united-colors-of-benetton-mens-short-sleeve-printed-t-shirt/p/7617448
Mens Short Sleeve Tipping T-Shirt,"₹1,000",https://www.nykaafashion.com/united-colors-of-benetton-mens-short-sleeve-tipping-t-shirt/p/7617463
Cream Linen Shirt,₹650,https://www.nykaafashion.com/united-colors-of-benetton-cream-linen-shirt/p/7617476
Men Solid Slim Fit Jeans Grey,₹500,https://www.nykaafashion.com/united-colors-of-benetton-men-solid-slim-fit-jeans-grey/p/8256783
Mens Short Sleeve Solid Polo T-Shirt,"₹1,400",https://www.nykaafashion.com/united-colors-of-benetton-mens-short-sleeve-solid-polo-t-shirt/p/7617445
Men Black Solid Skinny Fit Jeans,"₹2,250",https://www.nykaafashion.com/united-colors-of-benetton-mens-short-sleeve-tipping-t-shirt/p/7617462
Mens Short Sleeve Printed T-Shirt Beige,"₹1,250",https://www.nykaafashion.com/united-colors-of-benetton-men-black-solid-skinny-fit-jeans/p/7312993
White Linen Shirt,"₹2,998",https://www.nykaafashion.com/united-colors-of-benetton-mens-short-sleeve-printed-t-shirt/p/7617459
Black V-Neck T-Shirt,"₹2,310",https://www.nykaafashion.com/united-colors-of-benetton-mens-short-sleeve-printed-t-shirt-beige/p/8256738
Mens Short Sleeve Solid Polo Purple,"₹1,650",https://www.nykaafashion.com/united-colors-of-benetton-white-linen-shirt/p/7617480
Mens Low Crotch Jeans Black,"₹2,475",https://www.nykaafashion.com/united-colors-of-benetton-black-v-neck-t-shirt/p/7617460
Mens Short Sleeve Solid T-Shirt,"₹1,625",https://www.nykaafashion.com/united-colors-of-benetton-mens-short-sleeve-solid-polo-purple/p/8256745
Mens Slim Fit Solid Shorts,"₹2,625",https://www.nykaafashion.com/united-colors-of-benetton-mens-low-crotch-jeans-grey/p/8256794
White V-Neck T-Shirt,"₹1,875",https://www.nykaafashion.com/united-colors-of-benetton-mens-short-sleeve-solid-t-shirt/p/7617473
Mens Slim Fit Solid Shirt,"₹1,498",https://www.nykaafashion.com/united-colors-of-benetton-mens-slim-fit-solid-shorts/p/7617535
Analog Grey Dial Men Watch-UWUCG0000,"₹2,275",https://www.nykaafashion.com/united-colors-of-benetton-white-v-neck-t-shirt/p/7617461
